Month,OrdinalDate,WaterTemperature,Conductivity,EmbryoMidlineLength,MembraneAverage,MembraneStandardDeviation,MembraneCoefficientOfVariation,PerivittelineSpaceIndex,EmbryoAverage,EmbryoStandardDeviation,EmbryoCoefficientOfVariation,EggStage,DefinableEmbryo,PigmentPresence,DebrisAdhesion,DeflatedMembrane,Common.name,Family,Genus,Species,Common.name.IC,Family.IC,Genus.IC,Species.IC
6,172,26.3,473,0,2.96494625,0.374245354,0.126223318,0.605029518,1.79388,0.465744445,0.259629654,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,2.45251525,0.532638156,0.217180365,0.60525434,1.4843955,0.191341691,0.128902096,5,Y,N,Y,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,19.4,568,0,4.015012,0.225764511,0.056230096,0.352304364,1.41450625,0.081447767,0.057580352,5,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,3.46734325,0.329076609,0.094907422,0.439351274,1.523381675,0.460527507,0.302306057,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,3.6943605,0.459728688,0.124440668,0.400802412,1.4807086,0.156327214,0.105575948,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.2,367,0,4.32516175,0.331108404,0.076553993,0.398076985,1.72174735,0.52572933,0.305346386,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,3.537952,0.70003365,0.197864089,0.542003891,1.91758375,0.752857548,0.392607388,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,4.076094,2.46316575,0.684274155,0.277802724,0.646774278,1.59311225,0.038079791,0.023902767,7,Y,N,Y,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,163,22.7,357,0,2.10788175,0.36933049,0.175214046,0.738056416,1.55573565,0.487045512,0.313064441,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,18.7,661,0,2.51282075,0.419269529,0.166852144,0.750922146,1.88693275,0.421209552,0.223224464,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,20.9,434,0,3.327425,0.232607407,0.069906131,0.462114473,1.53765125,0.195807361,0.127341854,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,3.1656295,0.274132784,0.08659661,0.46469241,1.471044,0.143070757,0.097257973,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,4.237644,2.3402845,0.634533603,0.271135242,0.854975859,2.00088675,0.341566164,0.170707395,7,Y,N,Y,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,20.7,461,0,3.509418,0.067022818,0.019097987,0.441118371,1.54806875,0.146848372,0.094859076,5,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,3.7116725,0.255591785,0.068861621,0.403465015,1.49753,0.210354456,0.140467608,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,3.395876,0.451167706,0.132857533,0.42824046,1.4542515,0.177573514,0.122106468,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,4.257419,3.8593185,0.620467992,0.160771388,0.349679807,1.34952575,0.216074363,0.16011133,8,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,3.585108,3.04093925,0.768898288,0.252848947,0.420780816,1.2795689,0.244763335,0.19128578,8,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.1,340,3.025808,1.792354,0.375127087,0.209292967,0.834714627,1.4961041,0.542731777,0.362763378,8,Y,N,Y,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.1,340,3.731692,2.63763075,0.796647227,0.302031369,0.550505961,1.45203145,0.284537145,0.195957977,7,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.1,340,4.054596,2.59526975,0.827887315,0.318998561,0.910518733,2.363041725,1.37677268,0.582627325,7,Y,N,Y,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,24.9,373,0,4.7132635,0.110294496,0.023400876,0.286848502,1.351992575,0.075139904,0.055577158,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.1,340,0,3.2073715,0.487259881,0.151918754,0.421786033,1.3528245,0.042311571,0.031276467,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,3.6096075,0.768435013,0.212886031,0.451741637,1.63061,0.255096533,0.156442395,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,4.19353075,0.524999295,0.125192666,0.916445826,3.84314375,0.668438449,0.173930119,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,2.29118725,0.152463623,0.066543502,0.631144192,1.446069525,0.346539328,0.239642232,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,20.7,461,0,3.62656475,0.396788663,0.109411713,0.394196119,1.42957775,0.107450694,0.07516254,3,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,20.7,461,0,3.62816475,0.271030034,0.074701689,0.388940097,1.41113875,0.056294423,0.039892904,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,3.19126825,0.307571827,0.096379183,0.510140522,1.62799525,0.443465789,0.272399928,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,4.0623905,0.469352816,0.115536115,0.397290136,1.613947675,0.362854729,0.224824345,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,2.47703775,0.591464025,0.238778769,0.683968078,1.69421475,0.370975655,0.218966135,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,3.9616,4.01928125,0.355545382,0.088459941,0.34058832,1.36892025,0.264789268,0.193429287,8,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,20.7,461,0,3.81185375,0.200961073,0.052720038,0.416983666,1.58948075,0.100320504,0.063115268,5,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,2.5162635,0.372242054,0.147934449,0.666773869,1.67777875,0.311640689,0.185745998,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,20.7,461,0,3.6088625,0.073188708,0.020280271,0.365514757,1.3190925,0.101798834,0.077173385,3,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,2.33060225,0.442047874,0.189671092,0.633459227,1.4763415,0.213681269,0.14473702,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,20.7,461,0,3.036214,0.253421373,0.083466242,0.447863029,1.359808,0.080380847,0.059111909,3,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,148,21.2,276,0,3.034526,0.155921672,0.051382546,0.402094347,1.22016575,0.026227099,0.021494702,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,4.033442,3.9810045,1.097674374,0.275727991,0.345981586,1.37735425,0.205459442,0.149169643,8,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,20.7,461,0,3.1734695,0.328521751,0.10352132,0.426988427,1.35503475,0.090648105,0.066897255,3,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,20.7,461,0,3.43867675,0.095577121,0.027794739,0.41700612,1.43394925,0.079835296,0.05567512,5,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,4.23102225,0.342129367,0.080862105,0.42781706,1.8101035,0.560089093,0.309423794,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,3.350614,3.93582775,0.447510575,0.113701768,0.390538814,1.5370935,0.348885145,0.226977178,8,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,147,19.9,332,0,3.31695775,0.16441939,0.049569335,0.465369057,1.5436095,0.212101666,0.137406297,5,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,4.10764,0.161168497,0.039236276,0.377068584,1.548862,0.176908117,0.114218127,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,4.006357,3.93071325,0.218844675,0.055675564,0.385955844,1.51708175,0.282848106,0.186442231,7,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,3.1534415,0.410727222,0.130247294,0.522619573,1.64805025,0.34464198,0.209121039,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,3.82974225,0.162601975,0.042457681,0.486485657,1.863114675,0.437800079,0.234982895,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,19.2,674,0,3.4713395,0.628667781,0.181102361,0.422566347,1.46687125,0.064572011,0.044020231,3,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,3.196475,0.241760329,0.075633418,0.482839174,1.54338335,0.411840786,0.266842833,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,3.80787475,0.225089233,0.059111512,0.587097764,2.23559475,0.623154879,0.278742325,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,2.263398,0.200884467,0.088753488,0.624481532,1.41345025,0.387618671,0.274235808,5,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,4.258778,0.536596275,0.12599771,0.386977262,1.64805025,0.34464198,0.209121039,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.2,367,0,4.899922,0.210433238,0.042946242,0.391056735,1.9161475,0.420939201,0.219679957,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.2,367,0,4.63170975,0.250319857,0.054044806,0.374224443,1.733299,0.522862458,0.301657393,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.2,367,0,4.26203375,0.098853821,0.023194049,0.433158876,1.84613775,0.453247411,0.245511155,5,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.2,367,0,4.6871845,0.314565284,0.067111778,0.38336303,1.79689325,0.375107472,0.208753343,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,4.08027125,0.141794045,0.034751132,0.403278704,1.6454865,0.110354307,0.067064851,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,3.00212125,0.500022137,0.166556276,0.614913663,1.846045375,0.624812942,0.33846023,4,Y,N,Y,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,4.12292475,0.200423403,0.048611948,0.310005476,1.27812925,0.054926486,0.042974125,5,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,3.279586,2.8122125,0.496531143,0.176562455,0.517899785,1.45644425,0.207632249,0.142561069,8,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,147,20.7,316,0,3.85055125,0.040524336,0.010524295,0.34591427,1.331960625,0.046239652,0.034715479,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,156,24.3,312,0,3.554055,0.416240385,0.117117035,0.423775659,1.506122,0.009376932,0.006225878,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,4.177809,3.21033675,0.487060072,0.151716194,0.424260048,1.362017625,0.248121329,0.182171893,8,Y,N,Y,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,3.978211,0.7235006,0.181865819,0.342195022,1.361324,0.227908068,0.167416477,5,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,4.044823,3.18015575,0.818522685,0.257384464,0.395038246,1.25628315,0.270327068,0.215180048,8,Y,N,Y,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,4.54179175,0.520641856,0.114633582,0.399691889,1.815317325,0.47023804,0.25903903,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,3.855754,3.834939,0.342488327,0.089307373,0.365131558,1.40025725,0.286631525,0.20469919,8,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.1,340,3.220822,2.75424525,0.13950564,0.050651132,0.409875155,1.1288967,0.202386397,0.179278048,8,Y,N,Y,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,3.592983,3.82163275,0.23957354,0.062688792,0.341628261,1.30557775,0.227264496,0.174071974,8,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,3.76576875,0.189616628,0.050352701,0.335795912,1.26452975,0.180333434,0.142609087,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,3.91476875,0.270476182,0.069091229,0.447002521,1.7499115,0.552253984,0.315589665,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,2.797649,0.287175715,0.102648944,0.48927117,1.368809,0.208344787,0.152208808,6,Y,N,Y,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,2.363129,0.691874804,0.292779109,0.649829209,1.53563025,0.12665351,0.082476566,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,4.125579,0.79003333,0.191496352,0.392871461,1.62082225,0.176524757,0.10891062,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,0,4.16318725,0.186966257,0.044909404,0.369126953,1.536744625,0.241250212,0.156987835,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,148,21,276,0,3.33232475,0.345866316,0.103791299,0.383312431,1.2773215,0.133875951,0.104809909,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,26.3,473,0,3.81467925,0.219859353,0.057635082,0.338606581,1.2916755,0.107589407,0.083294455,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,148,21.2,276,0,1.84383475,0.069264927,0.037565691,0.535400597,0.987190225,0.151462071,0.153427442,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,172,25.4,393,3.934024,4.05041075,0.412749399,0.101903097,0.605465674,2.452384675,1.314731302,0.536103212,8,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,181,23.1,422,0,3.396759,0.153378725,0.045154432,0.39105409,1.3283165,0.07390401,0.05563735,3,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,175,23.2,411,3.592589,2.556006,0.164361256,0.06430394,0.425992378,1.088839075,0.389358019,0.35759005,8,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,20.7,461,0,3.78908825,0.249191841,0.065765647,0.369087207,1.398504,0.213539757,0.15269156,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,19.4,568,0,4.045567,0.121660233,0.03007248,0.356487484,1.442194,0.106998302,0.074191338,4,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,18.7,661,0,3.267944,0.107823583,0.032994318,0.402314498,1.31474125,0.110710688,0.084207206,3,Y,N,Y,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,18.7,661,0,3.11471525,0.438802926,0.140880591,0.438327709,1.365266,0.060854079,0.044573057,3,Y,N,Y,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
5,151,20.9,434,0,4.223939,0.214351047,0.050746719,0.377121154,1.59293675,0.418002446,0.262409946,6,Y,N,N,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
6,161,25.2,376,3.209416,2.59448375,0.354895036,0.136788305,0.714516231,1.85380075,0.705098385,0.380352843,7,Y,N,Y,Y,Grass Carp,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,IC,IC,IC,IC
